"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02665V03225","Economic Sector NACE Rev 2","C02511V03040","Private or Public Sector","UNIT","VALUE"
"EHQ16C01","Employment","20134","2013Q4","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","F","Construction (F)","-","All sectors","Number","58400"
"EHQ16C01","Employment","20134","2013Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","277300"
"EHQ16C01","Employment","20134","2013Q4","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","H","Transportation and storage (H)","-","All sectors","Number","62100"
"EHQ16C01","Employment","20134","2013Q4","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","I","Accommodation and food service activities (I)","-","All sectors","Number","141900"
"EHQ16C01","Employment","20134","2013Q4","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","J","Information and communication (J)","-","All sectors","Number","58500"
"EHQ16C01","Employment","20134","2013Q4","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","M","Professional, scientific and technical activities (M)","-","All sectors","Number","81900"
"EHQ16C01","Employment","20134","2013Q4","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","N","Administrative and support service activities (N)","-","All sectors","Number","74400"
"EHQ16C01","Employment","20134","2013Q4","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","105200"
"EHQ16C01","Employment","20134","2013Q4","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","P","Education (P)","-","All sectors","Number","131800"
"EHQ16C01","Employment","20134","2013Q4","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Q","Human health and social work activities (Q)","-","All sectors","Number","226000"
"EHQ16C01","Employment","20134","2013Q4","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Y0900","Industry (B to E)","-","All sectors","Number","199400"
"EHQ16C01","Employment","20134","2013Q4","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","85900"
"EHQ16C01","Employment","20134","2013Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20134","2013Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","46000"
"EHQ16C01","Employment","20141","2014Q1","-","All NACE economic sectors","01","Private sector","Number","1159700"
"EHQ16C01","Employment","20141","2014Q1","-","All NACE economic sectors","02","Public sector","Number","375600"
"EHQ16C01","Employment","20141","2014Q1","-","All NACE economic sectors","-","All sectors","Number","1535300"
"EHQ16C01","Employment","20141","2014Q1","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","F","Construction (F)","-","All sectors","Number","58900"
"EHQ16C01","Employment","20141","2014Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","273900"
"EHQ16C01","Employment","20141","2014Q1","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","H","Transportation and storage (H)","-","All sectors","Number","61000"
"EHQ16C01","Employment","20141","2014Q1","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","I","Accommodation and food service activities (I)","-","All sectors","Number","140600"
"EHQ16C01","Employment","20141","2014Q1","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","J","Information and communication (J)","-","All sectors","Number","57800"
"EHQ16C01","Employment","20141","2014Q1","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","M","Professional, scientific and technical activities (M)","-","All sectors","Number","83400"
"EHQ16C01","Employment","20141","2014Q1","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","N","Administrative and support service activities (N)","-","All sectors","Number","73500"
"EHQ16C01","Employment","20141","2014Q1","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","107000"
"EHQ16C01","Employment","20141","2014Q1","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","P","Education (P)","-","All sectors","Number","134700"
"EHQ16C01","Employment","20141","2014Q1","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Q","Human health and social work activities (Q)","-","All sectors","Number","219400"
"EHQ16C01","Employment","20141","2014Q1","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Y0900","Industry (B to E)","-","All sectors","Number","193600"
"EHQ16C01","Employment","20141","2014Q1","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","86700"
"EHQ16C01","Employment","20141","2014Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20141","2014Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","44600"
"EHQ16C01","Employment","20142","2014Q2","-","All NACE economic sectors","01","Private sector","Number","1183900"
"EHQ16C01","Employment","20142","2014Q2","-","All NACE economic sectors","02","Public sector","Number","373900"
"EHQ16C01","Employment","20142","2014Q2","-","All NACE economic sectors","-","All sectors","Number","1557900"
"EHQ16C01","Employment","20142","2014Q2","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","F","Construction (F)","-","All sectors","Number","62700"
"EHQ16C01","Employment","20142","2014Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","276200"
"EHQ16C01","Employment","20142","2014Q2","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","H","Transportation and storage (H)","-","All sectors","Number","62300"
"EHQ16C01","Employment","20142","2014Q2","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","I","Accommodation and food service activities (I)","-","All sectors","Number","145000"
"EHQ16C01","Employment","20142","2014Q2","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","J","Information and communication (J)","-","All sectors","Number","59700"
"EHQ16C01","Employment","20142","2014Q2","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","M","Professional, scientific and technical activities (M)","-","All sectors","Number","81600"
"EHQ16C01","Employment","20142","2014Q2","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","N","Administrative and support service activities (N)","-","All sectors","Number","76000"
"EHQ16C01","Employment","20142","2014Q2","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","107400"
"EHQ16C01","Employment","20142","2014Q2","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","P","Education (P)","-","All sectors","Number","136600"
"EHQ16C01","Employment","20142","2014Q2","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Q","Human health and social work activities (Q)","-","All sectors","Number","223000"
"EHQ16C01","Employment","20142","2014Q2","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Y0900","Industry (B to E)","-","All sectors","Number","194600"
"EHQ16C01","Employment","20142","2014Q2","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","86400"
"EHQ16C01","Employment","20142","2014Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20142","2014Q2","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","46500"
"EHQ16C01","Employment","20143","2014Q3","-","All NACE economic sectors","01","Private sector","Number","1218100"
"EHQ16C01","Employment","20143","2014Q3","-","All NACE economic sectors","02","Public sector","Number","371900"
"EHQ16C01","Employment","20143","2014Q3","-","All NACE economic sectors","-","All sectors","Number","1590000"
"EHQ16C01","Employment","20143","2014Q3","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","F","Construction (F)","-","All sectors","Number","67600"
"EHQ16C01","Employment","20143","2014Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","285500"
"EHQ16C01","Employment","20143","2014Q3","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","H","Transportation and storage (H)","-","All sectors","Number","61000"
"EHQ16C01","Employment","20143","2014Q3","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","I","Accommodation and food service activities (I)","-","All sectors","Number","148900"
"EHQ16C01","Employment","20143","2014Q3","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","J","Information and communication (J)","-","All sectors","Number","58200"
"EHQ16C01","Employment","20143","2014Q3","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","M","Professional, scientific and technical activities (M)","-","All sectors","Number","84200"
"EHQ16C01","Employment","20143","2014Q3","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","N","Administrative and support service activities (N)","-","All sectors","Number","78000"
"EHQ16C01","Employment","20143","2014Q3","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","109500"
"EHQ16C01","Employment","20143","2014Q3","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","P","Education (P)","-","All sectors","Number","130800"
"EHQ16C01","Employment","20143","2014Q3","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Q","Human health and social work activities (Q)","-","All sectors","Number","226500"
"EHQ16C01","Employment","20143","2014Q3","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Y0900","Industry (B to E)","-","All sectors","Number","199900"
"EHQ16C01","Employment","20143","2014Q3","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","92700"
"EHQ16C01","Employment","20143","2014Q3","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20143","2014Q3","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","47200"
"EHQ16C01","Employment","20144","2014Q4","-","All NACE economic sectors","01","Private sector","Number","1235100"
"EHQ16C01","Employment","20144","2014Q4","-","All NACE economic sectors","02","Public sector","Number","374000"
"EHQ16C01","Employment","20144","2014Q4","-","All NACE economic sectors","-","All sectors","Number","1609000"
"EHQ16C01","Employment","20144","2014Q4","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","F","Construction (F)","-","All sectors","Number","69300"
"EHQ16C01","Employment","20144","2014Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","289300"
"EHQ16C01","Employment","20144","2014Q4","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","H","Transportation and storage (H)","-","All sectors","Number","63800"
"EHQ16C01","Employment","20144","2014Q4","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","I","Accommodation and food service activities (I)","-","All sectors","Number","147400"
"EHQ16C01","Employment","20144","2014Q4","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","J","Information and communication (J)","-","All sectors","Number","62300"
"EHQ16C01","Employment","20144","2014Q4","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","M","Professional, scientific and technical activities (M)","-","All sectors","Number","84500"
"EHQ16C01","Employment","20144","2014Q4","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","N","Administrative and support service activities (N)","-","All sectors","Number","80200"
"EHQ16C01","Employment","20144","2014Q4","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","105800"
"EHQ16C01","Employment","20144","2014Q4","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","P","Education (P)","-","All sectors","Number","140000"
"EHQ16C01","Employment","20144","2014Q4","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Q","Human health and social work activities (Q)","-","All sectors","Number","225100"
"EHQ16C01","Employment","20144","2014Q4","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Y0900","Industry (B to E)","-","All sectors","Number","203500"
"EHQ16C01","Employment","20144","2014Q4","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","91200"
"EHQ16C01","Employment","20144","2014Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20144","2014Q4","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","46600"
"EHQ16C01","Employment","20151","2015Q1","-","All NACE economic sectors","01","Private sector","Number","1226000"
"EHQ16C01","Employment","20151","2015Q1","-","All NACE economic sectors","02","Public sector","Number","374500"
"EHQ16C01","Employment","20151","2015Q1","-","All NACE economic sectors","-","All sectors","Number","1600500"
"EHQ16C01","Employment","20151","2015Q1","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","F","Construction (F)","-","All sectors","Number","73000"
"EHQ16C01","Employment","20151","2015Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","281400"
"EHQ16C01","Employment","20151","2015Q1","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","H","Transportation and storage (H)","-","All sectors","Number","63400"
"EHQ16C01","Employment","20151","2015Q1","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","I","Accommodation and food service activities (I)","-","All sectors","Number","143100"
"EHQ16C01","Employment","20151","2015Q1","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","J","Information and communication (J)","-","All sectors","Number","61300"
"EHQ16C01","Employment","20151","2015Q1","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","M","Professional, scientific and technical activities (M)","-","All sectors","Number","79500"
"EHQ16C01","Employment","20151","2015Q1","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","N","Administrative and support service activities (N)","-","All sectors","Number","76000"
"EHQ16C01","Employment","20151","2015Q1","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","109300"
"EHQ16C01","Employment","20151","2015Q1","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","P","Education (P)","-","All sectors","Number","140600"
"EHQ16C01","Employment","20151","2015Q1","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Q","Human health and social work activities (Q)","-","All sectors","Number","225100"
"EHQ16C01","Employment","20151","2015Q1","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Y0900","Industry (B to E)","-","All sectors","Number","207200"
"EHQ16C01","Employment","20151","2015Q1","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","91000"
"EHQ16C01","Employment","20151","2015Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20151","2015Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","49500"
"EHQ16C01","Employment","20152","2015Q2","-","All NACE economic sectors","01","Private sector","Number","1243600"
"EHQ16C01","Employment","20152","2015Q2","-","All NACE economic sectors","02","Public sector","Number","376200"
"EHQ16C01","Employment","20152","2015Q2","-","All NACE economic sectors","-","All sectors","Number","1619800"
"EHQ16C01","Employment","20152","2015Q2","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","F","Construction (F)","-","All sectors","Number","75100"
"EHQ16C01","Employment","20152","2015Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","282800"
"EHQ16C01","Employment","20152","2015Q2","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","H","Transportation and storage (H)","-","All sectors","Number","64800"
"EHQ16C01","Employment","20152","2015Q2","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","I","Accommodation and food service activities (I)","-","All sectors","Number","148300"
"EHQ16C01","Employment","20152","2015Q2","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","J","Information and communication (J)","-","All sectors","Number","61800"
"EHQ16C01","Employment","20152","2015Q2","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20152","2015Q2","M","Professional, scientific and technical activities (M)","-","All sectors","Number","85300"
