"Statistic Label","Quarter","NACE Rev. 2 Sector","UNIT","VALUE"
"Stayers","2021Q3","Human health and social work activities (Q)","Thousand","256136"
"Stayers","2021Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","68535"
"Stayers","2021Q3","Services (T, U)","Thousand","725"
"Stayers","2021Q4","All NACE economic sectors","Thousand","2220382"
"Stayers","2021Q4","Not stated","Thousand","1125"
"Stayers","2021Q4","Agriculture, forestry and fishing (A)","Thousand","25305"
"Stayers","2021Q4","Industry (B to E)","Thousand","250230"
"Stayers","2021Q4","Construction (F)","Thousand","111421"
"Stayers","2021Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","342456"
"Stayers","2021Q4","Transportation and storage (H)","Thousand","81789"
"Stayers","2021Q4","Accommodation and food service activities (I)","Thousand","170434"
"Stayers","2021Q4","Information and communication (J)","Thousand","114940"
"Stayers","2021Q4","Financial, insurance and real estate activities (K, L)","Thousand","120679"
"Stayers","2021Q4","Professional, scientific and technical activities (M)","Thousand","140365"
"Stayers","2021Q4","Administrative and support service activities (N)","Thousand","137653"
"Stayers","2021Q4","Public administration and defence; compulsory social security (O)","Thousand","187675"
"Stayers","2021Q4","Education (P)","Thousand","202529"
"Stayers","2021Q4","Human health and social work activities (Q)","Thousand","259291"
"Stayers","2021Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","73772"
"Stayers","2021Q4","Services (T, U)","Thousand","718"
"Stayers","2022Q1","All NACE economic sectors","Thousand","2254944"
"Stayers","2022Q1","Not stated","Thousand","1048"
"Stayers","2022Q1","Agriculture, forestry and fishing (A)","Thousand","24137"
"Stayers","2022Q1","Industry (B to E)","Thousand","252205"
"Stayers","2022Q1","Construction (F)","Thousand","110673"
"Stayers","2022Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","353796"
"Stayers","2022Q1","Transportation and storage (H)","Thousand","82943"
"Stayers","2022Q1","Accommodation and food service activities (I)","Thousand","178390"
"Stayers","2022Q1","Information and communication (J)","Thousand","117821"
"Stayers","2022Q1","Financial, insurance and real estate activities (K, L)","Thousand","115950"
"Stayers","2022Q1","Professional, scientific and technical activities (M)","Thousand","139528"
"Stayers","2022Q1","Administrative and support service activities (N)","Thousand","144328"
"Stayers","2022Q1","Public administration and defence; compulsory social security (O)","Thousand","125544"
"Stayers","2022Q1","Education (P)","Thousand","212092"
"Stayers","2022Q1","Human health and social work activities (Q)","Thousand","322334"
"Stayers","2022Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","73466"
"Stayers","2022Q1","Services (T, U)","Thousand","689"
"Stayers","2022Q2","All NACE economic sectors","Thousand","2332152"
"Stayers","2022Q2","Not stated","Thousand","1342"
"Stayers","2022Q2","Agriculture, forestry and fishing (A)","Thousand","25901"
"Stayers","2022Q2","Industry (B to E)","Thousand","259000"
"Stayers","2022Q2","Construction (F)","Thousand","115255"
"Stayers","2022Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","353288"
"Stayers","2022Q2","Transportation and storage (H)","Thousand","84215"
"Stayers","2022Q2","Accommodation and food service activities (I)","Thousand","189303"
"Stayers","2022Q2","Information and communication (J)","Thousand","122083"
"Stayers","2022Q2","Financial, insurance and real estate activities (K, L)","Thousand","119644"
"Stayers","2022Q2","Professional, scientific and technical activities (M)","Thousand","147668"
"Stayers","2022Q2","Administrative and support service activities (N)","Thousand","147673"
"Stayers","2022Q2","Public administration and defence; compulsory social security (O)","Thousand","134305"
"Stayers","2022Q2","Education (P)","Thousand","227788"
"Stayers","2022Q2","Human health and social work activities (Q)","Thousand","327233"
"Stayers","2022Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","76718"
"Stayers","2022Q2","Services (T, U)","Thousand","736"
"Stayers","2022Q3","All NACE economic sectors","Thousand","2383726"
"Stayers","2022Q3","Not stated","Thousand","1413"
"Stayers","2022Q3","Agriculture, forestry and fishing (A)","Thousand","27105"
"Stayers","2022Q3","Industry (B to E)","Thousand","266218"
"Stayers","2022Q3","Construction (F)","Thousand","119094"
"Stayers","2022Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","358133"
"Stayers","2022Q3","Transportation and storage (H)","Thousand","86807"
"Stayers","2022Q3","Accommodation and food service activities (I)","Thousand","205531"
"Stayers","2022Q3","Information and communication (J)","Thousand","126768"
"Stayers","2022Q3","Financial, insurance and real estate activities (K, L)","Thousand","122450"
"Stayers","2022Q3","Professional, scientific and technical activities (M)","Thousand","152058"
"Stayers","2022Q3","Administrative and support service activities (N)","Thousand","154969"
"Stayers","2022Q3","Public administration and defence; compulsory social security (O)","Thousand","128852"
"Stayers","2022Q3","Education (P)","Thousand","224246"
"Stayers","2022Q3","Human health and social work activities (Q)","Thousand","328192"
"Stayers","2022Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","81079"
"Stayers","2022Q3","Services (T, U)","Thousand","811"
"Stayers","2022Q4","All NACE economic sectors","Thousand","2396298"
"Stayers","2022Q4","Not stated","Thousand","1535"
"Stayers","2022Q4","Agriculture, forestry and fishing (A)","Thousand","26252"
"Stayers","2022Q4","Industry (B to E)","Thousand","266058"
"Stayers","2022Q4","Construction (F)","Thousand","118631"
"Stayers","2022Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","356702"
"Stayers","2022Q4","Transportation and storage (H)","Thousand","88053"
"Stayers","2022Q4","Accommodation and food service activities (I)","Thousand","203870"
"Stayers","2022Q4","Information and communication (J)","Thousand","129093"
"Stayers","2022Q4","Financial, insurance and real estate activities (K, L)","Thousand","123558"
"Stayers","2022Q4","Professional, scientific and technical activities (M)","Thousand","152806"
"Stayers","2022Q4","Administrative and support service activities (N)","Thousand","156008"
"Stayers","2022Q4","Public administration and defence; compulsory social security (O)","Thousand","133600"
"Stayers","2022Q4","Education (P)","Thousand","224028"
"Stayers","2022Q4","Human health and social work activities (Q)","Thousand","335264"
"Stayers","2022Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","79997"
"Stayers","2022Q4","Services (T, U)","Thousand","843"
"Stayers","2023Q1","All NACE economic sectors","Thousand","2404180"
"Stayers","2023Q1","Not stated","Thousand","1499"
"Stayers","2023Q1","Agriculture, forestry and fishing (A)","Thousand","25022"
"Stayers","2023Q1","Industry (B to E)","Thousand","268196"
"Stayers","2023Q1","Construction (F)","Thousand","117153"
"Stayers","2023Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","369055"
"Stayers","2023Q1","Transportation and storage (H)","Thousand","88010"
"Stayers","2023Q1","Accommodation and food service activities (I)","Thousand","199988"
"Stayers","2023Q1","Information and communication (J)","Thousand","128680"
"Stayers","2023Q1","Financial, insurance and real estate activities (K, L)","Thousand","125065"
"Stayers","2023Q1","Professional, scientific and technical activities (M)","Thousand","154528"
"Stayers","2023Q1","Administrative and support service activities (N)","Thousand","156157"
"Stayers","2023Q1","Public administration and defence; compulsory social security (O)","Thousand","130445"
"Stayers","2023Q1","Education (P)","Thousand","223831"
"Stayers","2023Q1","Human health and social work activities (Q)","Thousand","336815"
"Stayers","2023Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","78898"
"Stayers","2023Q1","Services (T, U)","Thousand","838"
"Stayers","2023Q2","All NACE economic sectors","Thousand","2413660"
"Stayers","2023Q2","Not stated","Thousand","1630"
"Stayers","2023Q2","Agriculture, forestry and fishing (A)","Thousand","26832"
"Stayers","2023Q2","Industry (B to E)","Thousand","269678"
"Stayers","2023Q2","Construction (F)","Thousand","118421"
"Stayers","2023Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","360229"
"Stayers","2023Q2","Transportation and storage (H)","Thousand","88730"
"Stayers","2023Q2","Accommodation and food service activities (I)","Thousand","200291"
"Stayers","2023Q2","Information and communication (J)","Thousand","129457"
"Stayers","2023Q2","Financial, insurance and real estate activities (K, L)","Thousand","126279"
"Stayers","2023Q2","Professional, scientific and technical activities (M)","Thousand","157000"
"Stayers","2023Q2","Administrative and support service activities (N)","Thousand","153625"
"Stayers","2023Q2","Public administration and defence; compulsory social security (O)","Thousand","129171"
"Stayers","2023Q2","Education (P)","Thousand","230367"
"Stayers","2023Q2","Human health and social work activities (Q)","Thousand","341163"
"Stayers","2023Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","79917"
"Stayers","2023Q2","Services (T, U)","Thousand","870"
"Stayers","2023Q3","All NACE economic sectors","Thousand","2462237"
"Stayers","2023Q3","Not stated","Thousand","1707"
"Stayers","2023Q3","Agriculture, forestry and fishing (A)","Thousand","28288"
"Stayers","2023Q3","Industry (B to E)","Thousand","274374"
"Stayers","2023Q3","Construction (F)","Thousand","121752"
"Stayers","2023Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","366991"
"Stayers","2023Q3","Transportation and storage (H)","Thousand","91877"
"Stayers","2023Q3","Accommodation and food service activities (I)","Thousand","211893"
"Stayers","2023Q3","Information and communication (J)","Thousand","129331"
"Stayers","2023Q3","Financial, insurance and real estate activities (K, L)","Thousand","127231"
"Stayers","2023Q3","Professional, scientific and technical activities (M)","Thousand","160715"
"Stayers","2023Q3","Administrative and support service activities (N)","Thousand","157565"
"Stayers","2023Q3","Public administration and defence; compulsory social security (O)","Thousand","131135"
"Stayers","2023Q3","Education (P)","Thousand","231580"
"Stayers","2023Q3","Human health and social work activities (Q)","Thousand","342938"
"Stayers","2023Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","83958"
"Stayers","2023Q3","Services (T, U)","Thousand","902"
"Stayers","2023Q4","All NACE economic sectors","Thousand","2438244"
"Stayers","2023Q4","Not stated","Thousand","1538"
"Stayers","2023Q4","Agriculture, forestry and fishing (A)","Thousand","27491"
"Stayers","2023Q4","Industry (B to E)","Thousand","273414"
"Stayers","2023Q4","Construction (F)","Thousand","121119"
"Stayers","2023Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","364759"
"Stayers","2023Q4","Transportation and storage (H)","Thousand","92461"
"Stayers","2023Q4","Accommodation and food service activities (I)","Thousand","208119"
"Stayers","2023Q4","Information and communication (J)","Thousand","126859"
"Stayers","2023Q4","Financial, insurance and real estate activities (K, L)","Thousand","126038"
"Stayers","2023Q4","Professional, scientific and technical activities (M)","Thousand","158970"
"Stayers","2023Q4","Administrative and support service activities (N)","Thousand","154382"
"Stayers","2023Q4","Public administration and defence; compulsory social security (O)","Thousand","131793"
"Stayers","2023Q4","Education (P)","Thousand","221099"
"Stayers","2023Q4","Human health and social work activities (Q)","Thousand","345587"
"Stayers","2023Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","83661"
"Stayers","2023Q4","Services (T, U)","Thousand","954"
"Stayers","2024Q1","All NACE economic sectors","Thousand","2467940"
"Stayers","2024Q1","Not stated","Thousand","1689"
"Stayers","2024Q1","Agriculture, forestry and fishing (A)","Thousand","26451"
"Stayers","2024Q1","Industry (B to E)","Thousand","274517"
"Stayers","2024Q1","Construction (F)","Thousand","120489"
"Stayers","2024Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","378153"
"Stayers","2024Q1","Transportation and storage (H)","Thousand","93129"
"Stayers","2024Q1","Accommodation and food service activities (I)","Thousand","206920"
"Stayers","2024Q1","Information and communication (J)","Thousand","125444"
"Stayers","2024Q1","Financial, insurance and real estate activities (K, L)","Thousand","127037"
"Stayers","2024Q1","Professional, scientific and technical activities (M)","Thousand","160166"
"Stayers","2024Q1","Administrative and support service activities (N)","Thousand","154773"
"Stayers","2024Q1","Public administration and defence; compulsory social security (O)","Thousand","133317"
"Stayers","2024Q1","Education (P)","Thousand","231514"
"Stayers","2024Q1","Human health and social work activities (Q)","Thousand","350066"
"Stayers","2024Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","83241"
"Stayers","2024Q1","Services (T, U)","Thousand","1034"
"Stayers","2024Q2","All NACE economic sectors","Thousand","2499396"
"Stayers","2024Q2","Not stated","Thousand","1885"
"Stayers","2024Q2","Agriculture, forestry and fishing (A)","Thousand","28472"
"Stayers","2024Q2","Industry (B to E)","Thousand","276994"
"Stayers","2024Q2","Construction (F)","Thousand","122654"
"Stayers","2024Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","369998"
"Stayers","2024Q2","Transportation and storage (H)","Thousand","93340"
"Stayers","2024Q2","Accommodation and food service activities (I)","Thousand","206509"
"Stayers","2024Q2","Information and communication (J)","Thousand","126119"
"Stayers","2024Q2","Financial, insurance and real estate activities (K, L)","Thousand","128816"
"Stayers","2024Q2","Professional, scientific and technical activities (M)","Thousand","164977"
"Stayers","2024Q2","Administrative and support service activities (N)","Thousand","154296"
"Stayers","2024Q2","Public administration and defence; compulsory social security (O)","Thousand","131976"
"Stayers","2024Q2","Education (P)","Thousand","244306"
"Stayers","2024Q2","Human health and social work activities (Q)","Thousand","364042"
"Stayers","2024Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","83932"
"Stayers","2024Q2","Services (T, U)","Thousand","1080"
"Stayers","2024Q3","All NACE economic sectors","Thousand","2534105"
"Stayers","2024Q3","Not stated","Thousand","2504"
"Stayers","2024Q3","Agriculture, forestry and fishing (A)","Thousand","29233"
"Stayers","2024Q3","Industry (B to E)","Thousand","282392"
"Stayers","2024Q3","Construction (F)","Thousand","126392"
"Stayers","2024Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","372072"
"Stayers","2024Q3","Transportation and storage (H)","Thousand","95197"
"Stayers","2024Q3","Accommodation and food service activities (I)","Thousand","214424"
"Stayers","2024Q3","Information and communication (J)","Thousand","126431"
"Stayers","2024Q3","Financial, insurance and real estate activities (K, L)","Thousand","128404"
"Stayers","2024Q3","Professional, scientific and technical activities (M)","Thousand","164647"
"Stayers","2024Q3","Administrative and support service activities (N)","Thousand","162550"
"Stayers","2024Q3","Public administration and defence; compulsory social security (O)","Thousand","133818"
"Stayers","2024Q3","Education (P)","Thousand","243022"
"Stayers","2024Q3","Human health and social work activities (Q)","Thousand","364423"
"Stayers","2024Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","87459"
"Stayers","2024Q3","Services (T, U)","Thousand","1137"
"Separations","2020Q2","All NACE economic sectors","Thousand","485120"
"Separations","2020Q2","Not stated","Thousand","578"
"Separations","2020Q2","Agriculture, forestry and fishing (A)","Thousand","4762"
"Separations","2020Q2","Industry (B to E)","Thousand","21950"
"Separations","2020Q2","Construction (F)","Thousand","23783"
"Separations","2020Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","70669"
"Separations","2020Q2","Transportation and storage (H)","Thousand","13751"
"Separations","2020Q2","Accommodation and food service activities (I)","Thousand","140767"
"Separations","2020Q2","Information and communication (J)","Thousand","10920"
"Separations","2020Q2","Financial, insurance and real estate activities (K, L)","Thousand","16615"
"Separations","2020Q2","Professional, scientific and technical activities (M)","Thousand","22710"
"Separations","2020Q2","Administrative and support service activities (N)","Thousand","48109"
"Separations","2020Q2","Public administration and defence; compulsory social security (O)","Thousand","15681"
"Separations","2020Q2","Education (P)","Thousand","24674"
"Separations","2020Q2","Human health and social work activities (Q)","Thousand","29558"
"Separations","2020Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","40210"
"Separations","2020Q2","Services (T, U)","Thousand","383"
"Separations","2020Q3","All NACE economic sectors","Thousand","176816"
"Separations","2020Q3","Not stated","Thousand","154"
"Separations","2020Q3","Agriculture, forestry and fishing (A)","Thousand","3146"
"Separations","2020Q3","Industry (B to E)","Thousand","12179"
"Separations","2020Q3","Construction (F)","Thousand","10005"
"Separations","2020Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","24813"
"Separations","2020Q3","Transportation and storage (H)","Thousand","6371"
"Separations","2020Q3","Accommodation and food service activities (I)","Thousand","12273"
"Separations","2020Q3","Information and communication (J)","Thousand","6623"
"Separations","2020Q3","Financial, insurance and real estate activities (K, L)","Thousand","7909"
"Separations","2020Q3","Professional, scientific and technical activities (M)","Thousand","10625"
"Separations","2020Q3","Administrative and support service activities (N)","Thousand","23772"
"Separations","2020Q3","Public administration and defence; compulsory social security (O)","Thousand","6805"
"Separations","2020Q3","Education (P)","Thousand","29406"
"Separations","2020Q3","Human health and social work activities (Q)","Thousand","17058"
"Separations","2020Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","5592"
"Separations","2020Q3","Services (T, U)","Thousand","85"
"Separations","2020Q4","All NACE economic sectors","Thousand","262687"
"Separations","2020Q4","Not stated","Thousand","179"
"Separations","2020Q4","Agriculture, forestry and fishing (A)","Thousand","4738"
"Separations","2020Q4","Industry (B to E)","Thousand","20282"
"Separations","2020Q4","Construction (F)","Thousand","19431"
"Separations","2020Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","40877"
"Separations","2020Q4","Transportation and storage (H)","Thousand","7857"
"Separations","2020Q4","Accommodation and food service activities (I)","Thousand","38371"
"Separations","2020Q4","Information and communication (J)","Thousand","9371"
"Separations","2020Q4","Financial, insurance and real estate activities (K, L)","Thousand","10497"
"Separations","2020Q4","Professional, scientific and technical activities (M)","Thousand","15238"
"Separations","2020Q4","Administrative and support service activities (N)","Thousand","26357"
"Separations","2020Q4","Public administration and defence; compulsory social security (O)","Thousand","8358"
"Separations","2020Q4","Education (P)","Thousand","18485"
"Separations","2020Q4","Human health and social work activities (Q)","Thousand","27208"
"Separations","2020Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","15333"
"Separations","2020Q4","Services (T, U)","Thousand","105"
"Separations","2021Q1","All NACE economic sectors","Thousand","326579"
"Separations","2021Q1","Not stated","Thousand","304"
"Separations","2021Q1","Agriculture, forestry and fishing (A)","Thousand","4991"
"Separations","2021Q1","Industry (B to E)","Thousand","17381"
"Separations","2021Q1","Construction (F)","Thousand","16758"
"Separations","2021Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","44996"
"Separations","2021Q1","Transportation and storage (H)","Thousand","9175"
"Separations","2021Q1","Accommodation and food service activities (I)","Thousand","68785"
"Separations","2021Q1","Information and communication (J)","Thousand","11867"
"Separations","2021Q1","Financial, insurance and real estate activities (K, L)","Thousand","22870"
"Separations","2021Q1","Professional, scientific and technical activities (M)","Thousand","13053"
"Separations","2021Q1","Administrative and support service activities (N)","Thousand","31976"
"Separations","2021Q1","Public administration and defence; compulsory social security (O)","Thousand","10382"
"Separations","2021Q1","Education (P)","Thousand","28563"
"Separations","2021Q1","Human health and social work activities (Q)","Thousand","20778"
"Separations","2021Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","24470"
"Separations","2021Q1","Services (T, U)","Thousand","230"
"Separations","2021Q2","All NACE economic sectors","Thousand","170723"
"Separations","2021Q2","Not stated","Thousand","135"
"Separations","2021Q2","Agriculture, forestry and fishing (A)","Thousand","2706"
"Separations","2021Q2","Industry (B to E)","Thousand","13197"
"Separations","2021Q2","Construction (F)","Thousand","11476"
"Separations","2021Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","35816"
"Separations","2021Q2","Transportation and storage (H)","Thousand","5278"
"Separations","2021Q2","Accommodation and food service activities (I)","Thousand","16757"
"Separations","2021Q2","Information and communication (J)","Thousand","7094"
"Separations","2021Q2","Financial, insurance and real estate activities (K, L)","Thousand","6672"
"Separations","2021Q2","Professional, scientific and technical activities (M)","Thousand","9450"
"Separations","2021Q2","Administrative and support service activities (N)","Thousand","24388"
"Separations","2021Q2","Public administration and defence; compulsory social security (O)","Thousand","4695"
"Separations","2021Q2","Education (P)","Thousand","9973"
"Separations","2021Q2","Human health and social work activities (Q)","Thousand","18447"
"Separations","2021Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","4565"
"Separations","2021Q2","Services (T, U)","Thousand","74"
"Separations","2021Q3","All NACE economic sectors","Thousand","211027"
"Separations","2021Q3","Not stated","Thousand","160"
"Separations","2021Q3","Agriculture, forestry and fishing (A)","Thousand","3925"
"Separations","2021Q3","Industry (B to E)","Thousand","15627"
"Separations","2021Q3","Construction (F)","Thousand","11872"
"Separations","2021Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","34715"
"Separations","2021Q3","Transportation and storage (H)","Thousand","6607"
"Separations","2021Q3","Accommodation and food service activities (I)","Thousand","19949"
"Separations","2021Q3","Information and communication (J)","Thousand","9362"
"Separations","2021Q3","Financial, insurance and real estate activities (K, L)","Thousand","8126"
"Separations","2021Q3","Professional, scientific and technical activities (M)","Thousand","12562"
"Separations","2021Q3","Administrative and support service activities (N)","Thousand","25005"
"Separations","2021Q3","Public administration and defence; compulsory social security (O)","Thousand","7441"
"Separations","2021Q3","Education (P)","Thousand","29581"
"Separations","2021Q3","Human health and social work activities (Q)","Thousand","19197"
"Separations","2021Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","6812"
"Separations","2021Q3","Services (T, U)","Thousand","86"
"Separations","2021Q4","All NACE economic sectors","Thousand","322394"
"Separations","2021Q4","Not stated","Thousand","279"
"Separations","2021Q4","Agriculture, forestry and fishing (A)","Thousand","5144"
"Separations","2021Q4","Industry (B to E)","Thousand","23601"
"Separations","2021Q4","Construction (F)","Thousand","17374"
"Separations","2021Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","53828"
"Separations","2021Q4","Transportation and storage (H)","Thousand","7486"
"Separations","2021Q4","Accommodation and food service activities (I)","Thousand","50651"
"Separations","2021Q4","Information and communication (J)","Thousand","13755"
"Separations","2021Q4","Financial, insurance and real estate activities (K, L)","Thousand","11212"
"Separations","2021Q4","Professional, scientific and technical activities (M)","Thousand","19414"
"Separations","2021Q4","Administrative and support service activities (N)","Thousand","34097"
"Separations","2021Q4","Public administration and defence; compulsory social security (O)","Thousand","9323"
"Separations","2021Q4","Education (P)","Thousand","33992"
"Separations","2021Q4","Human health and social work activities (Q)","Thousand","27504"
"Separations","2021Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","14619"
"Separations","2021Q4","Services (T, U)","Thousand","115"
"Separations","2022Q1","All NACE economic sectors","Thousand","306281"
"Separations","2022Q1","Not stated","Thousand","205"
"Separations","2022Q1","Agriculture, forestry and fishing (A)","Thousand","4830"
"Separations","2022Q1","Industry (B to E)","Thousand","21375"
"Separations","2022Q1","Construction (F)","Thousand","14894"
"Separations","2022Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","53015"
"Separations","2022Q1","Transportation and storage (H)","Thousand","7966"
"Separations","2022Q1","Accommodation and food service activities (I)","Thousand","47639"
"Separations","2022Q1","Information and communication (J)","Thousand","13947"
"Separations","2022Q1","Financial, insurance and real estate activities (K, L)","Thousand","11219"
"Separations","2022Q1","Professional, scientific and technical activities (M)","Thousand","18350"
"Separations","2022Q1","Administrative and support service activities (N)","Thousand","35224"
"Separations","2022Q1","Public administration and defence; compulsory social security (O)","Thousand","10784"
"Separations","2022Q1","Education (P)","Thousand","26537"
"Separations","2022Q1","Human health and social work activities (Q)","Thousand","25732"
"Separations","2022Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","14453"
"Separations","2022Q1","Services (T, U)","Thousand","111"
"Separations","2022Q2","All NACE economic sectors","Thousand","236408"
"Separations","2022Q2","Not stated","Thousand","181"
"Separations","2022Q2","Agriculture, forestry and fishing (A)","Thousand","3071"
"Separations","2022Q2","Industry (B to E)","Thousand","17347"
"Separations","2022Q2","Construction (F)","Thousand","14349"
"Separations","2022Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","44233"
"Separations","2022Q2","Transportation and storage (H)","Thousand","6486"
"Separations","2022Q2","Accommodation and food service activities (I)","Thousand","37550"
"Separations","2022Q2","Information and communication (J)","Thousand","9489"
"Separations","2022Q2","Financial, insurance and real estate activities (K, L)","Thousand","8422"
"Separations","2022Q2","Professional, scientific and technical activities (M)","Thousand","13192"
"Separations","2022Q2","Administrative and support service activities (N)","Thousand","31081"
"Separations","2022Q2","Public administration and defence; compulsory social security (O)","Thousand","5469"
"Separations","2022Q2","Education (P)","Thousand","12112"
"Separations","2022Q2","Human health and social work activities (Q)","Thousand","24310"
"Separations","2022Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","9044"
"Separations","2022Q2","Services (T, U)","Thousand","72"
"Separations","2022Q3","All NACE economic sectors","Thousand","314873"
"Separations","2022Q3","Not stated","Thousand","256"
"Separations","2022Q3","Agriculture, forestry and fishing (A)","Thousand","4344"
"Separations","2022Q3","Industry (B to E)","Thousand","18998"
"Separations","2022Q3","Construction (F)","Thousand","14850"
"Separations","2022Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","46725"
"Separations","2022Q3","Transportation and storage (H)","Thousand","7116"
"Separations","2022Q3","Accommodation and food service activities (I)","Thousand","52025"
"Separations","2022Q3","Information and communication (J)","Thousand","11561"
"Separations","2022Q3","Financial, insurance and real estate activities (K, L)","Thousand","9831"
"Separations","2022Q3","Professional, scientific and technical activities (M)","Thousand","15755"
"Separations","2022Q3","Administrative and support service activities (N)","Thousand","36981"
"Separations","2022Q3","Public administration and defence; compulsory social security (O)","Thousand","15212"
"Separations","2022Q3","Education (P)","Thousand","41824"
"Separations","2022Q3","Human health and social work activities (Q)","Thousand","26661"
"Separations","2022Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","12608"
"Separations","2022Q3","Services (T, U)","Thousand","126"
"Separations","2022Q4","All NACE economic sectors","Thousand","351857"
"Separations","2022Q4","Not stated","Thousand","314"
"Separations","2022Q4","Agriculture, forestry and fishing (A)","Thousand","5202"
"Separations","2022Q4","Industry (B to E)","Thousand","25176"
"Separations","2022Q4","Construction (F)","Thousand","19393"
"Separations","2022Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","55415"
"Separations","2022Q4","Transportation and storage (H)","Thousand","8130"
"Separations","2022Q4","Accommodation and food service activities (I)","Thousand","61649"
"Separations","2022Q4","Information and communication (J)","Thousand","15085"
"Separations","2022Q4","Financial, insurance and real estate activities (K, L)","Thousand","12084"
"Separations","2022Q4","Professional, scientific and technical activities (M)","Thousand","19519"
"Separations","2022Q4","Administrative and support service activities (N)","Thousand","44415"
"Separations","2022Q4","Public administration and defence; compulsory social security (O)","Thousand","5200"
"Separations","2022Q4","Education (P)","Thousand","31708"
"Separations","2022Q4","Human health and social work activities (Q)","Thousand","29884"
"Separations","2022Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","18551"
"Separations","2022Q4","Services (T, U)","Thousand","132"
"Separations","2023Q1","All NACE economic sectors","Thousand","315992"
"Separations","2023Q1","Not stated","Thousand","324"
"Separations","2023Q1","Agriculture, forestry and fishing (A)","Thousand","4703"
"Separations","2023Q1","Industry (B to E)","Thousand","18215"
"Separations","2023Q1","Construction (F)","Thousand","16169"
"Separations","2023Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","45550"
"Separations","2023Q1","Transportation and storage (H)","Thousand","7998"
"Separations","2023Q1","Accommodation and food service activities (I)","Thousand","51351"
"Separations","2023Q1","Information and communication (J)","Thousand","13248"
"Separations","2023Q1","Financial, insurance and real estate activities (K, L)","Thousand","10635"
"Separations","2023Q1","Professional, scientific and technical activities (M)","Thousand","15618"
"Separations","2023Q1","Administrative and support service activities (N)","Thousand","38901"
"Separations","2023Q1","Public administration and defence; compulsory social security (O)","Thousand","11015"
"Separations","2023Q1","Education (P)","Thousand","38432"
"Separations","2023Q1","Human health and social work activities (Q)","Thousand","30408"
"Separations","2023Q1","Arts, entertainment, recreation and other service activities (R,S)","Thousand","13305"
"Separations","2023Q1","Services (T, U)","Thousand","120"
"Separations","2023Q2","All NACE economic sectors","Thousand","262284"
